Id_ANAS,Regione,Codice_Strada,Nome_Strada,Cup,Descrizione,Tipo_Lavoro,Impresa,Importo_Principale,Importo_Totale,Data_Consegna_Impresa,Avanzamento_Lavori,Data_Ultimazione_Prevista,Dal_Km,Al_Km,Strade_Segmentos,Coordinate,Nome_Ufficiale_Progetto,Anno_Decisione,Provincia_CUP,Municipi_Coinvolti,Tipologia,Settore,Sottosettore,Categoria_Settore,Cup_Padre,Progetti_Collegati_CUP
20210,Sicilia,SS114,SS 114 ORIENTALE SICULA,F87H17001950001,Lavori di rifacimento del ponte Agrò sito al km 35+100 della S.S.114 “Orientale Sicula,Lavori di manutenzione programmata.,RTI COSEDIL - COMER COSTRUZIONI MER,9106136.55,10788366.15,11-10-2024,"78,03",2026-10-10,35.100,35.140,SS114 35.100–35.140,,,,,,,,,,,
20212,Sicilia,SS114,SS 114 ORIENTALE SICULA,F87H17001940001,"SS  114 ""Orientale Sicula"" Lavori di rifacimento del ponte Fiumedinisi Km 25+350.",Lavori di manutenzione programmata.,SPOSATO COSTRUZIONI SRL,8057312.54,10813066.95,02-11-2021,"98,31",2026-05-30,25.350,25.400,SS114 25.350–25.400,,,,,,,,,,,
76432,Sicilia,SS114,SS 114 ORIENTALE SICULA,F87H24000070001,Lavori per la riqualificazione funzionale delle barriere di sicurezza in tratti saltuari lungo la SS 114 dal km 130+650 al km 154+550.,Lavori di manutenzione programmata.,RTI ECOIN S.P.A. - ALEANDRI S.P.A.,12519820.16,12720691.9,29-02-2024,"99,77",2026-03-23,130.650,154.550,SS114 130.650–154.550,,,,,,,,,,,
26067,Sicilia,SS115,SS 115 SUD OCCIDENTALE SICULA,F99J19000360001,Lavori di demolizione e ricostruzione della galleria Belvedere e dei relativi impianti tecnologici sita al km 117+800 della S.S. n. 115 “Sud Occidentale Sicula” di competenza del Centro D,Lavori di manutenzione programmata.,RTI COSEDIL - COMER COSTRUZIONI MER,17799495.78,19226681.92,20-12-2024,"3,09",2029-09-22,117.800,117.800,SS115 117.800–117.800,,,,,,,,,,,
80792,Sicilia,SS115,SS 115 SUD OCCIDENTALE SICULA,F64E21006580003,"Collegamento viario compreso tra lo svincolo della S.S. 514 ""di Chiaramonte"" con la S.S. 115 e lo svincolo della S.S. 194 ""Ragusana"". LOTTO 1 - Dallo svincolo n. 1 sulla S.S. 115 (compreso) allo svincolo n. 3 sulla S.P. 5 (escluso)",Lavori per nuove costruzioni.,WEBUILD ITALIA SPA,208329825.7,253971849.99,16-03-2023,"18,87",2028-03-30,0.000,0.000,SS115 0.000–0.000,"37.005398, 14.668880",,,,,,,,,,
80793,Sicilia,SS115,SS 115 SUD OCCIDENTALE SICULA,F64E21006590003,"Collegamento viario compreso tra lo svincolo della S.S. 514 ""di Chiaramonte"" con la S.S. 115 e lo svincolo della S.S. 194 ""Ragusana"". LOTTO 2 - Dallo svincolo n. 3 sulla S.P. 5 (compreso) allo svincolo n. 5 ""Grammichele"" (escluso)",Lavori per nuove costruzioni.,ICM S.P.A.,252353340.96,300494208.78,16-03-2023,"38,05",2027-12-31,0.000,0.000,SS115 0.000–0.000,"37.131615, 14.659445",,,,,,,,,,
80794,Sicilia,SS115,SS 115 SUD OCCIDENTALE SICULA,F74E21005370003,"Collegamento viario compreso tra lo svincolo della S.S. 514 ""di Chiaramonte"" con la S.S. 115 e lo svincolo della S.S. 194 ""Ragusana” - LOTTO 3 - Dallo svincolo n. 5 ""Grammichele"" (compreso) allo svincolo n. 8 ""Francofonte"" (escluso)",Lavori per nuove costruzioni.,RTI RIZZANI DE ECCHER - MANELLI IMP SACAIM,222878283.96,272616983.69,16-03-2023,"3,22",2028-07-31,0.000,267.550,SS115 0.000–267.550,"37.184994, 14.777917",,,,,,,,,,
80795,Sicilia,SS115,SS 115 SUD OCCIDENTALE SICULA,F34E21006690003,"Collegamento viario compreso tra lo svincolo della S.S. 514 ""di Chiaramonte"" con la S.S. 115 e lo svincolo della S.S. 194 ""Ragusana"". LOTTO 4 - Dallo svincolo n. 8 ""Francofonte"" (compreso) allo svincolo della ""Ragusana""(escluso)",Lavori per nuove costruzioni.,RTI COSEDIL - D'AGOSTINO COSTR. GEN FINCANTIERI INFRASTRUCTURE,356720910.42,427855399.67,16-03-2023,"29,87",2026-06-17,0.000,0.000,SS115 0.000–0.000,"37.271011, 14.949889",,,,,,,,,,
7850,Sicilia,SS121,SS 121 CATANESE,F41B03000230001,ITINERARIO PALERMO AGRIGENTO - TRATTO PALERMO - LERCARA FRIDDI. S.S. 121 - 2° Lotto funzionale: adeguamento in sede sez. Cat. C1/B nel tratto Bolognetta - Bivio Manganaro dal km 14+400 (rotatoria Bolognetta) al km 48+000 (svincolo Manganaro),Lavori per nuove costruzioni.,BOLOGNETTA S.C.P.A.,329624563.19,357522030.94,27-02-2014,"92,07",2020-11-29,14.400,48.000,SS121 14.400–48.000,,,,,,,,,,,
10602,Sicilia,SS640,SS 640 DI PORTO EMPEDOCLE,F91B09000070001,AGRIGENTO - CALTANISSETTA - A19. TRATTO DAL KM. 44 AL KM. 74+300.,Lavori per nuove costruzioni.,EMPEDOCLE 2 S.C.P.A.,843694945.91,904050502.3,01-10-2012,"96,08",2018-12-31,44.000,72.200,SS640 44.000–72.200,"37.416023, 13.900311",,,,,,,,,,
